pregunta;opcionA;opcionB;opcionC;opcionD;respuesta
Cual es la capital de Francia?;A) Madrid;B) Paris;C) Berlin;D) Roma;B
Cuanto es 2 + 2?;A) 3;B) 5;C) 4;D) 6;C
Cual es el planeta mas grande del sistema solar?;A) Tierra;B) Marte;C) Jupiter;D) Saturno;C
En que anio se descubrio America?;A) 1492;B) 1500;C) 1400;D) 1592;A
Cual es el elemento quimico del agua?;A) CO2;B) NaCl;C) H2O;D) O2;C
Quien pinto la Mona Lisa?;A) Picasso;B) Da Vinci;C) Miguel Angel;D) Rafael;B
Cual es el rio mas largo del mundo?;A) Nilo;B) Amazonas;C) Misisipi;D) Danubio;B
Cuantos continentes hay?;A) 5;B) 6;C) 7;D) 8;C
Cual es el metal mas ligero?;A) Hierro;B) Litio;C) Aluminio;D) Cobre;B
Que gas respiramos principalmente?;A) CO2;B) Nitrogeno;C) Oxigeno;D) Hidrogeno;C
Cual es el hueso mas largo del cuerpo humano?;A) Tibia;B) Humero;C) Femur;D) Radio;C
En que continente esta Egipto?;A) Asia;B) Europa;C) Africa;D) Oceania;C
Cual es el oceano mas grande?;A) Atlantico;B) Indico;C) Artico;D) Pacifico;D
Quien escribio Don Quijote?;A) Lope de Vega;B) Cervantes;C) Quevedo;D) Galdos;B
Cual es la moneda de Japon?;A) Won;B) Yuan;C) Yen;D) Rupia;C
Que animal es el mas rapido?;A) Leon;B) Aguila;C) Guepardo;D) Caballo;C
Cuantos jugadores tiene un equipo de futbol?;A) 9;B) 10;C) 11;D) 12;C
Cual es el pais mas grande del mundo?;A) China;B) EEUU;C) Canada;D) Rusia;D
En que anio empezo la Primera Guerra Mundial?;A) 1914;B) 1918;C) 1939;D) 1900;A
Cual es la formula de la velocidad?;A) F=ma;B) V=d/t;C) E=mc2;D) P=VI;B
